stroke_idx,point_idx,x_mm,y_mm,closed
0,0,105.000,108.500,1
0,1,107.616,108.586,1
0,2,110.221,108.842,1
0,3,112.804,109.269,1
0,4,115.353,109.863,1
0,5,117.858,110.623,1
0,6,120.307,111.545,1
0,7,122.692,112.625,1
0,8,125.000,113.859,1
0,9,127.223,115.241,1
0,10,129.350,116.766,1
0,11,131.374,118.426,1
0,12,133.284,120.216,1
0,13,135.074,122.126,1
0,14,136.734,124.150,1
0,15,138.259,126.277,1
0,16,139.641,128.500,1
0,17,140.875,130.808,1
0,18,141.955,133.193,1
0,19,142.877,135.642,1
0,20,143.637,138.147,1
0,21,144.231,140.696,1
0,22,144.658,143.279,1
0,23,144.914,145.884,1
0,24,145.000,148.500,1
0,25,144.914,151.116,1
0,26,144.658,153.721,1
0,27,144.231,156.304,1
0,28,143.637,158.853,1
0,29,142.877,161.358,1
0,30,141.955,163.807,1
0,31,140.875,166.192,1
0,32,139.641,168.500,1
0,33,138.259,170.723,1
0,34,137.219,173.222,1
0,35,138.979,178.299,1
0,36,140.198,183.698,1
0,37,140.843,189.371,1
0,38,140.883,195.264,1
0,39,138.597,198.781,1
0,40,132.944,196.901,1
0,41,127.692,194.515,1
0,42,122.880,191.666,1
0,43,118.545,188.403,1
0,44,115.353,187.137,1
0,45,112.804,187.731,1
0,46,110.221,188.158,1
0,47,107.616,188.414,1
0,48,105.000,188.500,1
0,49,102.384,188.414,1
0,50,99.779,188.158,1
0,51,97.196,187.731,1
0,52,94.647,187.137,1
0,53,91.455,188.403,1
0,54,87.120,191.666,1
0,55,82.308,194.515,1
0,56,77.056,196.901,1
0,57,71.403,198.781,1
0,58,69.117,195.264,1
0,59,69.157,189.371,1
0,60,69.802,183.698,1
0,61,71.021,178.299,1
0,62,72.781,173.222,1
0,63,71.741,170.723,1
0,64,70.359,168.500,1
0,65,69.125,166.192,1
0,66,68.045,163.807,1
0,67,67.123,161.358,1
0,68,66.363,158.853,1
0,69,65.769,156.304,1
0,70,65.342,153.721,1
0,71,65.086,151.116,1
0,72,65.000,148.500,1
0,73,65.086,145.884,1
0,74,65.342,143.279,1
0,75,65.769,140.696,1
0,76,66.363,138.147,1
0,77,67.123,135.642,1
0,78,68.045,133.193,1
0,79,69.125,130.808,1
0,80,70.359,128.500,1
0,81,71.741,126.277,1
0,82,73.266,124.150,1
0,83,74.926,122.126,1
0,84,76.716,120.216,1
0,85,78.626,118.426,1
0,86,80.650,116.766,1
0,87,82.777,115.241,1
0,88,85.000,113.859,1
0,89,87.308,112.625,1
0,90,89.693,111.545,1
0,91,92.142,110.623,1
0,92,94.647,109.863,1
0,93,97.196,109.269,1
0,94,99.779,108.842,1
0,95,102.384,108.586,1
1,0,90.000,134.500,1
1,1,91.553,134.704,1
1,2,93.000,135.304,1
1,3,94.243,136.257,1
1,4,95.196,137.500,1
1,5,95.796,138.947,1
1,6,96.000,140.500,1
1,7,95.796,142.053,1
1,8,95.196,143.500,1
1,9,94.243,144.743,1
1,10,93.000,145.696,1
1,11,91.553,146.296,1
1,12,90.000,146.500,1
1,13,88.447,146.296,1
1,14,87.000,145.696,1
1,15,85.757,144.743,1
1,16,84.804,143.500,1
1,17,84.204,142.053,1
1,18,84.000,140.500,1
1,19,84.204,138.947,1
1,20,84.804,137.500,1
1,21,85.757,136.257,1
1,22,87.000,135.304,1
1,23,88.447,134.704,1
2,0,120.000,134.500,1
2,1,121.553,134.704,1
2,2,123.000,135.304,1
2,3,124.243,136.257,1
2,4,125.196,137.500,1
2,5,125.796,138.947,1
2,6,126.000,140.500,1
2,7,125.796,142.053,1
2,8,125.196,143.500,1
2,9,124.243,144.743,1
2,10,123.000,145.696,1
2,11,121.553,146.296,1
2,12,120.000,146.500,1
2,13,118.447,146.296,1
2,14,117.000,145.696,1
2,15,115.757,144.743,1
2,16,114.804,143.500,1
2,17,114.204,142.053,1
2,18,114.000,140.500,1
2,19,114.204,138.947,1
2,20,114.804,137.500,1
2,21,115.757,136.257,1
2,22,117.000,135.304,1
2,23,118.447,134.704,1
3,0,105.000,151.500,1
3,1,106.531,151.728,1
3,2,107.828,152.379,1
3,3,108.696,153.352,1
3,4,109.000,154.500,1
3,5,108.696,155.648,1
3,6,107.828,156.621,1
3,7,106.531,157.272,1
3,8,105.000,157.500,1
3,9,103.469,157.272,1
3,10,102.172,156.621,1
3,11,101.304,155.648,1
3,12,101.000,154.500,1
3,13,101.304,153.352,1
3,14,102.172,152.379,1
3,15,103.469,151.728,1
4,0,105.000,160.500,1
4,1,107.731,160.635,1
4,2,110.358,161.033,1
4,3,112.778,161.680,1
4,4,114.899,162.550,1
4,5,116.641,163.611,1
4,6,117.934,164.821,1
4,7,118.731,166.134,1
4,8,119.000,167.500,1
4,9,118.731,168.866,1
4,10,117.934,170.179,1
4,11,116.641,171.389,1
4,12,114.899,172.450,1
4,13,112.778,173.320,1
4,14,110.358,173.967,1
4,15,107.731,174.365,1
4,16,105.000,174.500,1
4,17,102.269,174.365,1
4,18,99.642,173.967,1
4,19,97.222,173.320,1
4,20,95.101,172.450,1
4,21,93.359,171.389,1
4,22,92.066,170.179,1
4,23,91.269,168.866,1
4,24,91.000,167.500,1
4,25,91.269,166.134,1
4,26,92.066,164.821,1
4,27,93.359,163.611,1
4,28,95.101,162.550,1
4,29,97.222,161.680,1
4,30,99.642,161.033,1
4,31,102.269,160.635,1
