stroke_idx,point_idx,x_mm,y_mm,closed
0,0,145.000,148.500,1
0,1,144.914,145.884,1
0,2,144.658,143.279,1
0,3,144.231,140.696,1
0,4,143.637,138.147,1
0,5,142.877,135.642,1
0,6,141.955,133.193,1
0,7,140.875,130.808,1
0,8,139.641,128.500,1
0,9,138.259,126.277,1
0,10,137.219,123.778,1
0,11,138.979,118.701,1
0,12,140.198,113.302,1
0,13,140.843,107.629,1
0,14,140.883,101.736,1
0,15,138.597,98.219,1
0,16,132.944,100.099,1
0,17,127.692,102.485,1
0,18,122.880,105.334,1
0,19,118.545,108.597,1
0,20,115.353,109.863,1
0,21,112.804,109.269,1
0,22,110.221,108.842,1
0,23,107.616,108.586,1
0,24,105.000,108.500,1
0,25,102.384,108.586,1
0,26,99.779,108.842,1
0,27,97.196,109.269,1
0,28,94.647,109.863,1
0,29,91.455,108.597,1
0,30,87.120,105.334,1
0,31,82.308,102.485,1
0,32,77.056,100.099,1
0,33,71.403,98.219,1
0,34,69.117,101.736,1
0,35,69.157,107.629,1
0,36,69.802,113.302,1
0,37,71.021,118.701,1
0,38,72.781,123.778,1
0,39,71.741,126.277,1
0,40,70.359,128.500,1
0,41,69.125,130.808,1
0,42,68.045,133.193,1
0,43,67.123,135.642,1
0,44,66.363,138.147,1
0,45,65.769,140.696,1
0,46,65.342,143.279,1
0,47,65.086,145.884,1
0,48,65.000,148.500,1
0,49,65.086,151.116,1
0,50,65.342,153.721,1
0,51,65.769,156.304,1
0,52,66.363,158.853,1
0,53,67.123,161.358,1
0,54,68.045,163.807,1
0,55,69.125,166.192,1
0,56,70.359,168.500,1
0,57,71.741,170.723,1
0,58,73.266,172.850,1
0,59,74.926,174.874,1
0,60,76.716,176.784,1
0,61,78.626,178.574,1
0,62,80.650,180.234,1
0,63,82.777,181.759,1
0,64,85.000,183.141,1
0,65,87.308,184.375,1
0,66,89.693,185.455,1
0,67,92.142,186.377,1
0,68,94.647,187.137,1
0,69,97.196,187.731,1
0,70,99.779,188.158,1
0,71,102.384,188.414,1
0,72,105.000,188.500,1
0,73,107.616,188.414,1
0,74,110.221,188.158,1
0,75,112.804,187.731,1
0,76,115.353,187.137,1
0,77,117.858,186.377,1
0,78,120.307,185.455,1
0,79,122.692,184.375,1
0,80,125.000,183.141,1
0,81,127.223,181.759,1
0,82,129.350,180.234,1
0,83,131.374,178.574,1
0,84,133.284,176.784,1
0,85,135.074,174.874,1
0,86,136.734,172.850,1
0,87,138.259,170.723,1
0,88,139.641,168.500,1
0,89,140.875,166.192,1
0,90,141.955,163.807,1
0,91,142.877,161.358,1
0,92,143.637,158.853,1
0,93,144.231,156.304,1
0,94,144.658,153.721,1
0,95,144.914,151.116,1
